iter	Passed	Remaining
809	1977	463
810	1978	461
811	1979	458
812	1981	455
813	1982	453
814	1984	450
815	1986	447
816	1988	445
817	1990	442
818	1993	440
819	1995	437
820	1996	435
821	1998	432
822	1999	430
823	2002	427
824	2004	425
825	2005	422
826	2006	419
827	2009	417
828	2010	414
829	2012	412
830	2013	409
831	2015	406
832	2017	404
833	2019	401
834	2021	399
835	2025	397
836	2029	395
837	2032	392
838	2034	390
839	2046	389
840	2049	387
841	2051	384
842	2064	384
843	2066	381
844	2074	380
845	2082	379
846	2096	378
847	2097	375
848	2098	373
849	2104	371
850	2106	368
851	2108	366
852	2109	363
853	2111	360
854	2113	358
855	2115	355
856	2117	353
857	2119	350
858	2120	347
859	2121	345
860	2122	342
861	2123	339
862	2125	337
863	2127	334
864	2128	332
865	2129	329
866	2131	326
867	2133	324
868	2134	321
869	2136	319
870	2138	316
871	2140	314
872	2140	311
873	2141	308
874	2142	306
875	2143	303
876	2144	300
877	2145	298
878	2146	295
879	2147	292
880	2148	290
881	2150	287
882	2151	285
883	2153	282
884	2154	279
885	2155	277
886	2156	274
887	2158	272
888	2160	269
889	2161	267
890	2162	264
891	2163	261
892	2165	259
893	2166	256
894	2167	254
895	2168	251
896	2169	249
897	2170	246
898	2172	244
899	2174	241
900	2175	239
901	2177	236
902	2178	234
903	2180	231
904	2182	229
905	2183	226
906	2184	224
907	2185	221
908	2186	218
909	2187	216
910	2188	213
911	2189	211
912	2190	208
913	2191	206
914	2192	203
915	2193	201
916	2194	198
917	2195	196
918	2196	193
919	2198	191
920	2199	188
921	2200	186
922	2201	183
923	2204	181
924	2205	178
925	2206	176
926	2208	173
927	2210	171
928	2211	169
929	2213	166
930	2214	164
931	2215	161
932	2215	159
933	2217	156
934	2218	154
935	2220	151
936	2221	149
937	2222	146
938	2223	144
939	2224	141
940	2225	139
941	2226	137
942	2227	134
943	2228	132
944	2228	129
945	2229	127
946	2230	124
947	2231	122
948	2233	120
949	2235	117
950	2238	115
951	2238	112
952	2239	110
953	2240	108
954	2241	105
955	2242	103
956	2243	100
957	2244	98
958	2245	95
959	2245	93
960	2246	91
961	2247	88
962	2248	86
963	2249	83
964	2250	81
965	2251	79
966	2252	76
967	2254	74
968	2255	72
969	2256	69
970	2257	67
971	2259	65
972	2260	62
973	2261	60
974	2263	58
975	2264	55
976	2265	53
977	2267	51
978	2268	48
979	2269	46
980	2270	43
981	2272	41
982	2273	39
983	2275	37
984	2277	34
985	2278	32
986	2279	30
987	2280	27
988	2282	25
989	2283	23
990	2284	20
991	2285	18
992	2286	16
993	2287	13
994	2288	11
995	2289	9
996	2309	6
997	2326	4
998	2339	2
999	2346	0
